"regional_code","common_name_en","common_name_fr","scientific_name","aphia_id","count_of_occurrences_in_db"
114,"Fourbeard rockling",NA,"Enchelyopus cimbrius",126450,481
502,"Atlantic spiny lumpsucker","Petite poule de mer atlantique","Eumicrotremus spinosus",127217,471
320,"Sea raven",NA,"Hemitripterus americanus",159518,454
632,"Stout eelblenny",NA,"Anisarchus medius",127070,450
9000,"Digested remains unidentified",NA,NA,NA,440
6713,"Scarlet psolus",NA,"Psolus fabricii",124703,430
8621,"Eyed finger sponge",NA,"Haliclona (Haliclona) oculata",132833,423
1511,"Eggs - Snail/Slug","Oeufs - Gastropode","Gastropoda sp. eggs",NA,417
2313,"Spirontocaris liljeborgii",NA,"Spirontocaris liljeborgii",107531,415
9991,"First Unidentified Per Set",NA,NA,NA,403
4322,"Iceland scallop",NA,"Chlamys islandica",140692,400
118,"Greenland cod","Ogac","Gadus macrocephalus",254538,391
622,"Snakeblenny",NA,"Lumpenus lampretaeformis",154675,372
341,"Arctic alligatorfish","Poisson-alligator arctique","Aspidophoroides olrikii",309268,371
8616,"Mycale (Mycale) lingua","Mycale (Mycale) lingua","Mycale (Mycale) lingua",168640,370
2332,"Arctic eualid","Bouc Arctique","Eualus fabricii",158357,367
306,"Arctic hookear sculpin",NA,"Artediellus uncinatus",127195,360
6117,"Horse star","Hippasteria phrygiana","Hippasteria phrygiana",124043,339
8318,"Sea pen unidentified",NA,"Pennatulacea sp.",1367,338
1224,"Eggs -Skate","Oeufs - Raie","Rajidae sp. eggs",NA,337
6125,"Winged sea star",NA,"Pteraster militaris",124147,336
2315,"Punctate bladed shrimp","Bouc","Spirontocaris phippsii",107532,335
8200,"Cnidaria unidentified",NA,"Cnidaria (p.)",1267,330
8400,"Hydrozoa unidentified",NA,"Hydrozoa (c.)",1337,317
9001,"Fish/Invertebrates unidentified",NA,NA,NA,315
361,"Three-spined stickleback",NA,"Gasterosteus aculeatus",126505,313
241,"Mud Hagfish","Myxine de vase","Myxine limosa",271309,312
202,"Smooth skate","Raie lisse","Malacoraja senta",158554,311
2414,"Sculptured shrimp",NA,"Sclerocrangon boreas",107568,308
1900,"Bryozoan unidentified",NA,"Bryozoa (p.)",146142,284
2523,"Northern stone crab",NA,"Lithodes maja",107205,272
4227,"New england neptune",NA,"Neptunea decemcostata",491164,255
647,"Vahl's eelpout","Lycode de Vahl","Lycodes vahlii",127118,249
410,"Marlin-spike grenadier","Grenadier du grand banc","Nezumia bairdii",183289,244
2221,"Pink glass shrimp","Sivade rose (Crevette blanche)","Pasiphaea multidentata",107676,242
2417,"Sevenspine bay shrimp","Crevette grise","Crangon septemspinosa",158355,230
712,"White barracudina","Lussion blanc","Arctozenus risso",126352,225
6100,"Starfish unidentified",NA,"Asteroidea (c.)",123080,221
6111,"Common starfish",NA,"Asterias rubens",123776,205
4342,"Iceland cockle","Coque d'Islande","Ciliatocardium ciliatum",139000,203
9304,"Red seaweed unidentified",NA,"Rhodophyta sp.",852,203
143,"Windowpane flounder","Turbot de sable","Scophthalmus aquosus",158907,198
2800,"Amphipod unidentified",NA,"Amphipoda (o.)",1135,198
5100,"Sea spider unidentified",NA,"Pycnogonida sp.",1302,193
2833,"Anonyx unidentified",NA,"Anonyx sp.",101592,189
8613,"Fig sponge","Suberites ficus","Suberites ficus",134285,186
8623,"Breadcrumb sponge","Halichondria (Halichondria) panicea","Halichondria (Halichondria) panicea",165853,184
122,"Cunner","Tanche-tautogue","Tautogolabrus adspersus",159785,180
1821,"Sea squirt unidentified",NA,"Ascidia sp.",103483,165
501,"Lumpfish","Grosse poule de mer","Cyclopterus lumpus",127214,162
4321,"Sea scallop",NA,"Placopecten magellanicus",156972,160
4521,"Octopus unidentified",NA,"Octopoda (o.)",11718,156
